,Title,Genre,Rating,Description,Director,Votes,Gross,Keyword
1708,The Haunted Palace,Horror,6.7,Charles Dexter Ward arrives at a small village to visit the house he inherited from his ancestor who died there 100 years ago.,Roger Corman,7790,$2.62M,cold-weather
1709,Make My Day,"Animation, Adventure, Drama",5.4,On an icy mining planet (aka a prison world) mysterious disappearances point to deadly secrets hidden within the mines.,Zeno Robinson,532,N/A,cold-weather
1710,The St. Valentine's Day Massacre,"Crime, Drama, History",6.6,Al Capone's Valentine's Day surprise for the rival Bugs Moran gang in 1929 Chicago.,Roger Corman,4460,N/A,cold-weather
1711,Island in the Sky,"Adventure, Drama",6.8,"A C-47 transport plane, named the Corsair, makes a forced landing in the frozen wastes of Quebec, and the plane's pilot, Captain Dooley, must keep his men alive in deadly conditions while waiting for rescue.",William A. Wellman,3622,N/A,cold-weather
1712,So weit die Füße tragen,"Action, Adventure, Drama",7.3,"A German Army officer is captured by the Soviets in World War 2 and sent to a labour camp in the Eastern part of Siberia. After five years of enormous hardship he escapes, commencing an incredible, arduous, danger-filled journey.",Hardy Martins,7803,N/A,cold-weather
1713,In Tranzit,"Drama, Romance, War",5.7,"In 1946, a group of German POWs are mistakenly sent to a Soviet female transit prison camp and must cope with the hostility of the Soviet female inmates and guards, under the orders of cruel camp commander Pavlov.",Tom Roberts,2544,N/A,cold-weather
1714,Bear Island,"Action, Adventure, Mystery",5.8,"On the remote Norwegian Bear Island, used as a submarine base by the Germans during World War II, U.N. scientist Larsen sends a distress signal using an emergency N.A.T.O. frequency, and is received by scientific vessel Morning Rose.",Don Sharp,2577,N/A,cold-weather
1715,Snow Day,"Comedy, Family, Musical",4.1,"Your family is in for a flurry of fun with Snow Day, a musical reimagining of the beloved classic comedy film that follows a group of kids who discover that anything is possible when you break routines and take giant risks.",Michael Lembeck,304,N/A,cold-weather
1716,The Last Winter,"Horror, Mystery, Thriller",5.5,"Sent to evaluate the environmental impact of oil drilling in the Arctic, James Hoffman clashes with the drilling crew's chief, who wants to get the job done.",Larry Fessenden,9521,$0.03M,cold-weather
1717,Attack,"Action, Drama, War",7.4,"In 1944, an American Infantry company sets up an artillery observation post, but tensions between Captain Cooney and Lieutenant Costa run high.",Robert Aldrich,5571,N/A,cold-weather
1718,Age of Heroes,"Action, Adventure, Drama",5.5,"The true story of the formation of Ian Fleming's 30 Commando unit, a precursor for the elite forces in the U.K.",Adrian Vitoria,10014,N/A,cold-weather
1719,My Christmas Family Tree,"Drama, Romance",7.6,"When Vanessa receives the results from her Family Tree DNA test, she discovers a family she didn't know existed and travels to their home for Christmas.",Jason Bourque,2119,N/A,cold-weather
1720,Krasnyy prizrak,"Action, History, War",6.1,"December 30, 1941. In Vyazma ('Vyazemsky cauldron') there is a small group of Soviet soldiers, who are trying to reach their own comrades after having escaped a Nazi encirclement. In the ...                See full summary »",Andrey Bogatyrev,1731,N/A,cold-weather
1721,Talvisota,"Drama, History, War",7.6,"In 1939, two Finnish brothers are conscripted in the army to fight in the war between Finland and the Soviet Union.",Pekka Parikka,8458,N/A,cold-weather
1722,Tuntematon sotilas,"Drama, War",8.5,Exploits of a Finnish infantry unit fighting the Soviets in 1942.,Aku Hirviniemi,2200,N/A,cold-weather
1723,Krasnaya palatka,"Adventure, Drama",6.9,"Torn by personal guilt, Italian General Umberto Nobile reminisces about his failed 1928 Arctic expedition aboard the airship Italia.",Mikhail Kalatozov,2306,N/A,cold-weather
1724,Rudolph the Red-Nosed Reindeer: The Movie,"Animation, Adventure, Family",5.8,It's up to Santa's most famous reindeer to save the day when an evil queen conjures up a storm on Christmas.,William R. Kowalchuk Jr.,2960,$0.11M,cold-weather
1725,Grimm,"Adventure, Comedy, Drama",6.3,One winter's day Jacob and his sister Marie are left behind in the woods by their unemployed father. In his coat Jacob finds a note from his mother urging them to go to their uncle in Spain...                See full summary »,Alex van Warmerdam,1973,N/A,cold-weather
1726,Far North,"Crime, Drama, Romance",6.1,A soldier's unexpected arrival affects two women's simple existence.,Asif Kapadia,3132,N/A,cold-weather
1727,Edge of Winter,"Drama, Thriller",5.3,"When two brothers are stranded by a brutal winter storm with an unpredictable father they barely know, the boys begin to suspect their supposed protector may be their biggest threat.",Rob Connolly,4266,N/A,cold-weather
1728,Letchik,"Biography, Drama, History",6.1,"During a mission in WWII, the plane of Nikolai Komlev is shot down. He manages to bring his plane down in a remote forest clearing, but far from friendly territory, he faces a relentless test of physical and mental endurance.",Renat Davletyarov,1379,N/A,cold-weather
1729,The Nine Kittens of Christmas,"Comedy, Drama, Family",6.6,Zachary and Marilee are thrown back together at Christmas when they're tasked with finding homes for a litter of adorable kittens.,David Winning,1597,N/A,cold-weather
1730,Man in the Wilderness,"Adventure, Drama, Western",6.8,"Left for dead after a bear attack, a fur-trapper recuperates and pursues his former companions through dangerous Indian territory.",Richard C. Sarafian,3260,N/A,cold-weather
1731,Nordfor sola,"Documentary, Adventure, Sport",8.0,Two young men decide to spend an archive circle Norwegian winter in the isolated and uninhabited bay of Norway. Their home is built from salvaged material washed up onshore. They surf every day with much time for self reflection.,Jørn Nyseth Ranum,855,N/A,cold-weather
1732,The Christmas House,"Drama, Romance",6.0,"Working through some difficult decisions, a mother and father summon their two grown sons home for the holidays.",Michael Grossman,2346,N/A,cold-weather
1733,The Alaska Triangle,"Documentary, Fantasy, Mystery",5.6,"The Alaska Triangle"" - has been home to so much unusual activity that it has struck fear across Alaska and the world.",Andrew Gough,272,N/A,cold-weather
1734,Stalingrad,"Documentary, History, War",8.3,The World War 2 Battle of Stalingrad from the initial attack to the repatriation of the survivors after the war.,Bob van Tol,987,N/A,cold-weather
1735,Dvadtsat vosem panfilovtsev,"Action, Drama, History",6.7,"In November 1941, remaining squad of Soviet soldiers must stop a column of Nazi Germany tanks.",Kim Druzhinin,5704,N/A,cold-weather
1736,Kukushka,"Comedy, Drama, War",7.7,"In WWII, a Finnish sniper is left chained to a rock by German soldiers, while a captain of the Red Army, en route to his court martial, is almost blown up by Russian planes. A Lapp woman gives a shelter to both of them at her farm.",Aleksandr Rogozhkin,7811,$0.24M,cold-weather
1737,The Christmas House 2: Deck Those Halls,Romance,6.4,The Mitchell brothers compete to see who can create the better Christmas House.,Rich Newey,958,N/A,cold-weather
1738,Ostrov,Drama,7.8,"Somewhere in Northern Russia in a small Russian Orthodox monastery lives an unusual man whose bizarre conduct confuses his fellow monks, while others who visit the island believe that the man has the power to heal, exorcise demons and foretell the future.",Pavel Lungin,12184,N/A,cold-weather
1739,Yukon Men,"Adventure, Reality-TV",7.2,"Follow the men of Tanana, a remote village in Alaska by the Yukon River, on their everyday life throughout the four seasons. Every second counts, because as winter is getting closer and the...                See full summary »",Pat Duke,893,N/A,cold-weather
1740,Soyuz spaseniya,"Action, Adventure, Drama",5.2,"A group of officers of the Russian Imperial Guard prepare a revolt in December 1825, when about 3,000 officers and soldiers refused to swear allegiance to the new tsar.",Andrey Kravchuk,1516,N/A,cold-weather
1741,Leningrad,"Drama, War",6.0,"Winter, 1941. World War II rages on as Nazi troops invade the Soviet Union and besiege the devastated city of Leningrad. Foreign journalists are quickly evacuated, but in the chaos that ensues, Kate Davies is left behind.",Aleksandr Buravskiy,4702,N/A,cold-weather
1742,Kray,"Adventure, Drama, History",6.5,"In 1945, Soviet war hero Ignat is sent to work as a locomotive mechanic in a Siberian labor camp where he meets an assortment of Germans and Russians.",Aleksey Uchitel,3154,N/A,cold-weather
1743,Kak ya provyol etim letom,Drama,6.9,"One place. One day. Two men. The place is a polar research station on an island in the Arctic Ocean, inhabited now only by Sergei and Pavel. One day when Sergei is out angling, Pavel picks up a radio message that he daren't communicate.",Alexei Popogrebsky,6878,$0.01M,cold-weather
1744,Ice Soldiers,"Action, Sci-Fi, Thriller",4.3,A scientist discovers the bodies of three frozen genetically modified Russians buried in the Canadian North. Upon thawing them out he realizes he has unleashed a deadly threat to Western society and must stop them at all costs.,Sturla Gunnarsson,2768,N/A,cold-weather
1745,Dresden,"Drama, Romance, War",6.6,A romance between a British pilot hiding in Germany and a German nurse is shown on the background of massive allied bombing of Dresden towards the end of World War 2.,Roland Suso Richter,2643,N/A,cold-weather
1746,Ledokol,"Action, Adventure, Drama",6.1,"Toward the icebreaker ""Mikhail Gromov"" is moving a huge iceberg. Leaving from collision, the ship falls into the ice trap, and is forced to drift near the coast of Antarctica.",Nikolay Khomeriki,2090,N/A,cold-weather
1747,The Russian Bride,"Horror, Thriller",5.2,"A Russian woman meets an older man on a dating site. She travels to America with her daughter to marry the man, who is a reclusive billionaire. He turns out to be a psycho, who sends their lives spiraling into a living hell. Will they manage to survive!",Michael S. Ojeda,4058,N/A,cold-weather
1748,Kholodnoe leto pyatdesyat tretego,"Action, Crime, Drama",7.8,Former political inmates Sergei and Nikolai live as exiles in a remote Siberian village. After the general Soviet gulag amnesty of 1953 8 pardoned common criminals terrorize the inhabitants.,Aleksandr Proshkin,2387,N/A,cold-weather
1749,The Land Before Time VIII: The Big Freeze,"Animation, Adventure, Comedy",5.7,Littlefoot and his friends sing new songs while enduring a blizzard. Animated.,Charles Grosvenor,2593,N/A,cold-weather
1750,Alaska Kid,Adventure,7.1,"During the gold rush days, a young man with his best friend go through lots of interesting adventures in Alaska from races to dangerous trips.",Mark Pillow,75,N/A,cold-weather
1751,Die weiße Hölle vom Piz Palü,"Action, Adventure, Drama",7.3,"A man climbs a 12,000-foot mountain to search for his wife, who was lost on their honeymoon. Another couple makes the dangerous climb with him.",Arnold Fanck,1050,N/A,cold-weather
1752,Northern Pursuit,"Adventure, Drama, Romance",6.6,A Canadian Mountie of German descent feigns disaffection with his homeland in hopes of infiltrating and thwarting a Nazi sabotage plot.,Raoul Walsh,1543,N/A,cold-weather
1753,"Retreat, Hell!","Drama, War",6.4,"The saga of a battalion of U.S. Marines during the Korean War, starting with their training, landing at Inchon in 1950, advance into North Korea and their subsequent retreat back to the 38th parallel.",Joseph H. Lewis,526,N/A,cold-weather
1754,Rzhev,"Drama, History, War",6.1,"In the winter of 1942/1943, a series of not-so-well known, yet bloody battles occurred near the town of Rzhev. Those battles received the name of 'Rzhev Meat Grinder'. The film is based on the award-winning novel by Vyacheslav Kondratyev.",Igor Kopylov,1109,N/A,cold-weather
